Time,Anomaly (deg C)
1850-01,-0.67456436
1850-02,-0.333416
1850-03,-0.59132266
1850-04,-0.58872116
1850-05,-0.50881654
1850-06,-0.34424013
1850-07,-0.15979019
1850-08,-0.2076543
1850-09,-0.3847069
1850-10,-0.53312653
1850-11,-0.2825075
1850-12,-0.40367043
1851-01,-0.20073938
1851-02,-0.46933234
1851-03,-0.6460531
1851-04,-0.5421326
1851-05,-0.19762275
1851-06,-0.13670355
1851-07,-0.0968156
1851-08,-0.10175375
1851-09,-0.091244884
1851-10,-0.00836263
1851-11,-0.08189084
1851-12,-0.22754622
1852-01,-0.37509567
1852-02,-0.47672674
1852-03,-0.5597683
1852-04,-0.5853704
1852-05,-0.12741269
1852-06,-0.083659135
1852-07,0.005029385
1852-08,-0.13558698
1852-09,-0.00190167
1852-10,-0.172434
1852-11,-0.3052479
1852-12,0.065385304
1853-01,-0.23259853
1853-02,-0.40372267
1853-03,-0.28042167
1853-04,-0.38631994
1853-05,-0.2678886
1853-06,-0.1423762
1853-07,-0.08344058
1853-08,-0.056647103
1853-09,-0.2502504
1853-10,-0.391768
1853-11,-0.41142052
1853-12,-0.33739907
1854-01,-0.3813734
1854-02,-0.36109406
1854-03,-0.24269956
1854-04,-0.3338324
1854-05,-0.2894821
1854-06,-0.29902688
1854-07,-0.17864197
1854-08,-0.23944739
1854-09,-0.21674344
1854-10,-0.09526511
1854-11,-0.41029203
1854-12,-0.4503518
1855-01,-0.15919624
1855-02,-0.31344938
1855-03,-0.34401497
1855-04,-0.21820337
1855-05,-0.38729364
1855-06,-0.3329626
1855-07,-0.3329893
1855-08,-0.19952463
1855-09,-0.27071294
1855-10,-0.19544719
1855-11,-0.38930947
1855-12,-0.41989732
1856-01,-0.075628236
1856-02,-0.33713824
1856-03,-0.35769272
1856-04,-0.3159384
1856-05,-0.28508008
1856-06,-0.21416615
1856-07,-0.22469248
1856-08,-0.23770598
1856-09,-0.38821492
1856-10,-0.4381357
1856-11,-0.55232793
1856-12,-0.4175237
1857-01,-0.49476224
1857-02,-0.43487996
1857-03,-0.47860673
1857-04,-0.6443354
1857-05,-0.65871185
1857-06,-0.30414528
1857-07,-0.4113695
1857-08,-0.36897412
1857-09,-0.37968943
1857-10,-0.47263545
1857-11,-0.6851335
1857-12,-0.27351704
1858-01,-0.29548538
1858-02,-0.47690183
1858-03,-0.5476575
1858-04,-0.42799428
1858-05,-0.5320951
1858-06,-0.37952122
1858-07,-0.3355508
1858-08,-0.27754986
1858-09,-0.28318587
1858-10,-0.2887329
1858-11,-0.36552474
1858-12,-0.4549887
1859-01,-0.38148466
1859-02,-0.34352297
1859-03,-0.31371728
1859-04,-0.15715948
1859-05,-0.15248476
1859-06,-0.24957645
1859-07,-0.31209
1859-08,-0.24464844
1859-09,-0.393858
1859-10,-0.25472045
1859-11,-0.2875482
1859-12,-0.28437135
1860-01,-0.39058298
1860-02,-0.4682912
1860-03,-0.7864609
1860-04,-0.30610728
1860-05,-0.36362675
1860-06,-0.21145956
1860-07,-0.1847646
1860-08,-0.1142386
1860-09,-0.13131975
1860-10,-0.3459595
1860-11,-0.60494
1860-12,-0.774231
1861-01,-0.91803956
1861-02,-0.6245886
1861-03,-0.41567025
1861-04,-0.38623625
1861-05,-0.66027
1861-06,-0.2513623
1861-07,-0.29667267
1861-08,-0.041093126
1861-09,-0.27033228
1861-10,-0.47664645
1861-11,-0.45758948
1861-12,-0.35085425
1862-01,-0.82483715
1862-02,-0.7155356
1862-03,-0.5353963
1862-04,-0.52208453
1862-05,-0.34752536
1862-06,-0.3066114
1862-07,-0.3448706
1862-08,-0.4561808
1862-09,-0.3624242
1862-10,-0.44867027
1862-11,-0.6777555
1862-12,-0.8945406
1863-01,-0.07634223
1863-02,-0.24953309
1863-03,-0.3549987
1863-04,-0.28827205
1863-05,-0.38365692
1863-06,-0.36828673
1863-07,-0.3123347
1863-08,-0.29738235
1863-09,-0.35204113
1863-10,-0.5043272
1863-11,-0.44055805
1863-12,-0.50319576
1864-01,-0.8532364
1864-02,-0.5934415
1864-03,-0.49939686
1864-04,-0.54358864
1864-05,-0.32381108
1864-06,-0.11254485
1864-07,-0.25960582
1864-08,-0.3079488
1864-09,-0.4425317
1864-10,-0.6029094
1864-11,-0.45623875
1864-12,-0.5903272
1865-01,-0.17609702
1865-02,-0.46668038
1865-03,-0.66122115
1865-04,-0.4481533
1865-05,-0.37746775
1865-06,-0.19515869
1865-07,-0.2152483
1865-08,-0.21177977
1865-09,-0.17093047
1865-10,-0.26942545
1865-11,-0.33705235
1865-12,-0.4605614
1866-01,-0.1320992
1866-02,-0.40108874
1866-03,-0.6821522
1866-04,-0.4543501
1866-05,-0.5728256
1866-06,-0.09814961
1866-07,-0.008290062
1866-08,-0.2494715
1866-09,-0.37775257
1866-10,-0.4206272
1866-11,-0.29829076
1866-12,-0.40035242
1867-01,-0.40518752
1867-02,-0.3535976
1867-03,-0.6812414
1867-04,-0.4213023
1867-05,-0.5748245
1867-06,-0.35035887
1867-07,-0.25275818
1867-08,-0.33047715
1867-09,-0.14789358
1867-10,-0.12525536
1867-11,-0.19566038
1867-12,-0.44537255
1868-01,-0.6848776
1868-02,-0.69327545
1868-03,-0.33387566
1868-04,-0.36299402
1868-05,-0.2855361
1868-06,-0.29688424
1868-07,-0.059621982
1868-08,-0.1932709
1868-09,-0.34477365
1868-10,-0.22966905
1868-11,-0.42318085
1868-12,-0.31396636
1869-01,-0.33569098
1869-02,0.13131645
1869-03,-0.6260294
1869-04,-0.40569928
1869-05,-0.3099707
1869-06,-0.38451383
1869-07,-0.41707024
1869-08,-0.16793925
1869-09,-0.17162752
1869-10,-0.2934824
1869-11,-0.2818132
1869-12,-0.5365831
1870-01,-0.21106681
1870-02,-0.4548541
1870-03,-0.4983347
1870-04,-0.33294046
1870-05,-0.2977442
1870-06,-0.23123583
1870-07,-0.073357955
1870-08,-0.2582274
