Date,GMAF
1980 JAN,823
1980 FEB,780
1980 MAR,1058
1980 APR,1397
1980 MAY,1438
1980 JUN,1821
1980 JUL,1950
1980 AUG,2777
1980 SEP,2258
1980 OCT,1509
1980 NOV,1004
1980 DEC,690
1981 JAN,833
1981 FEB,818
1981 MAR,1067
1981 APR,1521
1981 MAY,1559
1981 JUN,1828
1981 JUL,2177
1981 AUG,3143
1981 SEP,2547
1981 OCT,1812
1981 NOV,1006
1981 DEC,737
1982 JAN,962
1982 FEB,872
1982 MAR,1106
1982 APR,1671
1982 MAY,1524
1982 JUN,2261
1982 JUL,2247
1982 AUG,3268
1982 SEP,2741
1982 OCT,2018
1982 NOV,1087
1982 DEC,854
1983 JAN,947
1983 FEB,875
1983 MAR,1156
1983 APR,1616
1983 MAY,1646
1983 JUN,2142
1983 JUL,2677
1983 AUG,3187
1983 SEP,2711
1983 OCT,2027
1983 NOV,1098
1983 DEC,912
1984 JAN,1035
1984 FEB,885
1984 MAR,1336
1984 APR,1717
1984 MAY,1828
1984 JUN,2436
1984 JUL,2480
1984 AUG,3150
1984 SEP,2968
1984 OCT,2054
1984 NOV,1235
1984 DEC,950
1985 JAN,1043
1985 FEB,872
1985 MAR,1365
1985 APR,1644
1985 MAY,1651
1985 JUN,2288
1985 JUL,2277
1985 AUG,3150
1985 SEP,2830
1985 OCT,2050
1985 NOV,1424
1985 DEC,1014
1986 JAN,1129
1986 FEB,1004
1986 MAR,1572
1986 APR,1607
1986 MAY,2116
1986 JUN,2620
1986 JUL,2865
1986 AUG,3740
1986 SEP,3318
1986 OCT,2457
1986 NOV,1465
1986 DEC,1055
1987 JAN,1305
1987 FEB,1292
1987 MAR,1644
1987 APR,2074
1987 MAY,2391
1987 JUN,2849
1987 JUL,3148
1987 AUG,4041
1987 SEP,3462
1987 OCT,2540
1987 NOV,1603
1987 DEC,1098
1988 JAN,1406
1988 FEB,1384
1988 MAR,1679
1988 APR,2080
1988 MAY,2133
1988 JUN,3130
1988 JUL,3326
1988 AUG,3967
1988 SEP,3729
1988 OCT,3077
1988 NOV,1695
1988 DEC,1224
1989 JAN,1724
1989 FEB,1627
1989 MAR,2055
1989 APR,2211
1989 MAY,2478
1989 JUN,3263
1989 JUL,3353
1989 AUG,4392
1989 SEP,3878
1989 OCT,3006
1989 NOV,1647
1989 DEC,1398
1990 JAN,1808
1990 FEB,1532
1990 MAR,1925
1990 APR,2535
