Year,Month,NOAA CH4 (ppb)
1983,7,1625.95
1983,8,1628.05
1983,9,1638.44
1983,10,1644.8
1983,11,1642.59
1983,12,1639.56
1984,1,1638.73
1984,2,1638.78
1984,3,1640.88
1984,4,1643.98
1984,5,1643.13
1984,6,1639.76
1984,7,1638
1984,8,1641.68
1984,9,1650.62
1984,10,1654.59
1984,11,1653.77
1984,12,1656.23
1985,1,1655.6
1985,2,1652.21
1985,3,1654.62
1985,4,1658.2
1985,5,1655.86
1985,6,1650.07
1985,7,1646.81
1985,8,1652.23
1985,9,1662.5
1985,10,1667.49
1985,11,1666.79
1985,12,1666.08
1986,1,1666.28
1986,2,1666.89
1986,3,1669.28
1986,4,1670.81
1986,5,1668.43
1986,6,1664.78
1986,7,1662.33
1986,8,1664.36
1986,9,1672.59
1986,10,1678.67
1986,11,1678.97
1986,12,1679.14
1987,1,1679.39
1987,2,1679
1987,3,1680.04
1987,4,1681.35
1987,5,1681.83
1987,6,1680
1987,7,1675.96
1987,8,1677.15
1987,9,1685.61
1987,10,1691.57
1987,11,1691.15
1987,12,1690.51
1988,1,1692.03
1988,2,1692.59
1988,3,1691.38
1988,4,1690.12
1988,5,1689.09
1988,6,1687.18
1988,7,1686
1988,8,1689.43
1988,9,1696.14
1988,10,1701.13
1988,11,1702.84
1988,12,1701.95
1989,1,1700.53
1989,2,1701.05
1989,3,1702.48
1989,4,1703.59
1989,5,1703.35
1989,6,1700.22
1989,7,1698.2
1989,8,1701.97
1989,9,1707.2
1989,10,1710.51
1989,11,1713.1
1989,12,1713.27
1990,1,1712.2
1990,2,1713.58
1990,3,1714.45
1990,4,1712.55
1990,5,1710.64
1990,6,1708.5
1990,7,1706.57
1990,8,1710.22
1990,9,1717.63
1990,10,1722.02
1990,11,1723.45
1990,12,1723.32
1991,1,1721.57
1991,2,1721.21
1991,3,1722.07
1991,4,1722.39
1991,5,1722.06
1991,6,1718.89
1991,7,1715.96
1991,8,1719.11
1991,9,1726.07
1991,10,1732.7
1991,11,1737.45
1991,12,1739.6
1992,1,1738.93
1992,2,1737.35
1992,3,1736.93
1992,4,1736.65
1992,5,1734.96
1992,6,1731.58
1992,7,1728.81
1992,8,1730.32
1992,9,1734.63
1992,10,1737.66
1992,11,1739.22
1992,12,1738.58
1993,1,1735.78
1993,2,1734.34
1993,3,1735.4
1993,4,1736.6
1993,5,1734.98
1993,6,1730.89
1993,7,1728.01
1993,8,1731.13
1993,9,1738.47
1993,10,1743.37
1993,11,1745.21
1993,12,1744.32
1994,1,1741.42
1994,2,1740.86
1994,3,1741.97
1994,4,1741.95
1994,5,1740.62
1994,6,1736.9
1994,7,1732.4
1994,8,1734.06
1994,9,1742.91
1994,10,1749.75
1994,11,1751.22
1994,12,1751.63
1995,1,1751.12
1995,2,1749.48
1995,3,1749.01
1995,4,1749.43
1995,5,1747.63
1995,6,1742.84
